feature,importance
prev_is_fastball,0.09739197878609196
pitcher_count,0.08644035980527143
outs_when_up,0.07805266813633271
strikes,0.07705149649264698
neutral_count,0.07321968844157967
early_inning,0.06652153785241044
middle_inning,0.06504198429820973
late_inning,0.05911158709976161
pitcher_count_fb_pct,0.055992858751489294
balls,0.051069263959051314
hitter_count,0.04872920372013834
first_pitch,0.04044799055848425
pitcher_neutral_count_fb_pct,0.030200759305296865
pitcher_pitcher_count_fb_pct,0.030031076022982273
pitcher_hitter_count_fb_pct,0.029988321840089815
pitcher_fb_pct,0.029719321630644835
inning,0.02107979838121654
catcher_count_fb_pct,0.020104116792431626
consecutive_counter,0.01771215124658765
catcher_fb_pct,0.0052411121962652185
batter_success_vs_fb,0.004073792008370658
batter_fb_os_diff,0.00331474133217613
batter_success_vs_os,0.003223422917896901
