Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.6386002686126473,0.6564536168251095,0.7356901190153667,0.6938169199871657,0.6929543145068152
Decision Tree,0.7180654278690881,0.7253657301366236,0.7941141262230735,0.7581846782222142,0.80060396725961
Random Forest,0.7229747974008395,0.7341152838633134,0.787486060270037,0.7598646713904011,0.8076352939711307
XGBoost,0.7304615859367604,0.739223193149604,0.7968170162362415,0.7669403645801749,0.8191763141980909
